date,ticker,event_type,headline,body,severity_true,sentiment,direction_true,original_date,ret_fwd_5d
2010-08-13,LLY,PRODUCT_LIABILITY,LLY faces product liability lawsuit over safety claims,Consumers filed a lawsuit claiming that the company's product caused injuries due to design flaws. The company maintains that the product meets safety standards and will contest the allegations.,4,negative,-1,2010-05-15,-0.04285710710851609
2010-09-23,META,SEC_ENFORCEMENT,META to restate earnings after SEC investigation,"According to regulatory filings, the company settled with the SEC over allegations of inadequate internal controls. The resolution involves a monetary fine and the appointment of an independent monitor.",1,negative,-1,2010-05-23,
2010-07-28,COP,REGULATORY_UPDATE,Regulatory changes affect COP's operations,The company issued a statement addressing new regulatory requirements affecting its operations. Management indicated ongoing efforts to adapt processes and ensure compliance across all jurisdictions.,0,neutral,0,2010-05-23,0.0655038905581562
2010-01-07,MRK,FDA_APPROVAL,MRK receives FDA approval for new therapy,"In a significant milestone, the FDA granted approval for the company's groundbreaking therapy. The development is expected to drive revenue growth and deliver new treatment options for patients.",1,positive,1,2010-05-25,0.06017999426191878
2010-01-28,COP,REGULATORY_UPDATE,COP issues statement on updated compliance rules,Industry-wide regulatory changes have prompted the company to modify certain practices. Executives anticipate minor operational impacts but emphasized the importance of maintaining compliance.,3,negative,-1,2010-06-01,-0.00392975743708579
2010-03-30,COST,LABOR_LAWSUIT,Employees file class-action labor lawsuit against COST,A group of employees alleges that the company violated wage and hour laws by misclassifying workers and failing to pay overtime. The company stated it complies with labor regulations and will defend itself vigorously.,1,negative,-1,2010-06-03,0.025760058936930008
2010-04-16,HD,DATA_PRIVACY,HD under scrutiny for handling of user data,Regulators imposed a fine after finding that the company failed to obtain proper consent for collecting user information. The violation underlines the growing scrutiny of data protection practices in the technology industry.,0,negative,-1,2010-06-09,0.0394171960337395
2010-09-22,MSFT,SEC_ENFORCEMENT,MSFT to restate earnings after SEC investigation,"After an investigation into revenue recognition practices, the company announced it would restate prior earnings. The SEC noted cooperation by the company in resolving the matter.",2,negative,-1,2010-06-10,-0.004469614989400683
2010-11-11,JNJ,PRODUCT_LIABILITY,JNJ reaches settlement in product liability case,Regulatory filings show that the company faces multiple product liability suits alleging harm from its products. The company is evaluating legal strategies to address these claims.,1,negative,-1,2010-06-10,-0.0014081786788379125
2010-11-29,COP,ACCOUNTING_FRAUD,COP executives charged in accounting fraud scheme,"Prosecutors allege that company executives participated in a scheme to inflate revenues and conceal losses. The investigation remains ongoing, and the company has placed the employees involved on administrative leave.",1,negative,-1,2010-06-10,0.0576788543627047
2010-06-11,PG,REGULATORY_UPDATE,PG issues statement on updated compliance rules,The company issued a statement addressing new regulatory requirements affecting its operations. Management indicated ongoing efforts to adapt processes and ensure compliance across all jurisdictions.,2,negative,-1,2010-06-10,0.004753415003964534
2010-02-22,UNH,FDA_APPROVAL,UNH receives FDA approval for new therapy,"After successful clinical trials, the company's drug received FDA approval for market entry. Investors responded positively, reflecting optimism about future sales prospects.",4,positive,1,2010-06-11,0.029020895696832305
2010-07-27,UNH,PATENT_IP,UNH involved in patent infringement lawsuit,The company filed a complaint alleging theft of proprietary designs by a rival. The case seeks injunctive relief to prevent further use of the contested intellectual property and compensatory damages for losses incurred.,2,negative,-1,2010-06-12,0.05328115096781416
2010-05-24,BAC,LABOR_LAWSUIT,BAC sued over labor practice allegations,A group of employees alleges that the company violated wage and hour laws by misclassifying workers and failing to pay overtime. The company stated it complies with labor regulations and will defend itself vigorously.,2,negative,-1,2010-06-13,0.002597242801081423
2010-09-22,PFE,PRODUCT_LIABILITY,PFE faces product liability lawsuit over safety claims,Consumers filed a lawsuit claiming that the company's product caused injuries due to design flaws. The company maintains that the product meets safety standards and will contest the allegations.,0,negative,-1,2010-06-15,0.010453006722506375
2010-11-05,UNH,LABOR_LAWSUIT,Employees file class-action labor lawsuit against UNH,A group of employees alleges that the company violated wage and hour laws by misclassifying workers and failing to pay overtime. The company stated it complies with labor regulations and will defend itself vigorously.,1,negative,-1,2010-06-15,-0.005154816253868044
2010-11-05,LLY,FDA_ACTION,FDA issues warning to LLY over manufacturing practices,The Food and Drug Administration issued a warning letter to the company about manufacturing deficiencies at one of its facilities. The company is addressing the cited issues to avoid further enforcement actions.,0,negative,-1,2010-06-18,-0.013360354579608824
2010-08-13,AMZN,PATENT_IP,AMZN sues competitor over intellectual property theft,The lawsuit centers on allegations that the company's product infringed on patented technology held by a competitor. Legal experts anticipate a protracted battle as both sides argue the validity and scope of the patents involved.,0,negative,-1,2010-06-20,
2010-01-25,JPM,LABOR_LAWSUIT,JPM settles labor dispute with workforce,"The company reached a settlement with workers who had claimed unfair labor practices. Without admitting wrongdoing, the company agreed to compensation and to implement improved labor policies.",0,negative,-1,2010-06-20,0.010711335057536742
2010-10-04,TGT,DATA_PRIVACY,TGT announces data breach affecting customer records,"An internal audit revealed unauthorized access to customer data, prompting regulatory notification and an investigation. The company has engaged forensic experts to assess the scope and pledged to strengthen security protocols.",0,negative,-1,2010-06-21,0.026769121196464463
2010-06-07,JNJ,PATENT_IP,JNJ sues competitor over intellectual property theft,The company filed a complaint alleging theft of proprietary designs by a rival. The case seeks injunctive relief to prevent further use of the contested intellectual property and compensatory damages for losses incurred.,0,negative,-1,2010-06-22,0.007241326607332121
2010-11-05,AAPL,DATA_PRIVACY,AAPL announces data breach affecting customer records,Regulators imposed a fine after finding that the company failed to obtain proper consent for collecting user information. The violation underlines the growing scrutiny of data protection practices in the technology industry.,0,negative,-1,2010-06-22,-0.028694686267994207
2010-09-09,RTX,ACCOUNTING_FRAUD,Auditors uncover accounting irregularities at RTX,"Prosecutors allege that company executives participated in a scheme to inflate revenues and conceal losses. The investigation remains ongoing, and the company has placed the employees involved on administrative leave.",1,negative,-1,2010-06-22,-0.0013113423044304184
2010-11-18,SBUX,SUPPLY_CHAIN,SBUX resolves supply chain compliance issue,The company disclosed disruptions in its supply chain due to a regulatory investigation into one of its key partners. Management is exploring alternative suppliers to mitigate potential shortages.,0,neutral,0,2010-06-24,
2010-05-25,IBM,ACCOUNTING_FRAUD,IBM executives charged in accounting fraud scheme,"Auditors discovered discrepancies in the company's financial statements, leading to suspicions of accounting misconduct. The firm has initiated an internal review and engaged outside counsel to ensure transparency.",1,negative,-1,2010-06-25,0.02320938539530526
2010-10-20,LLY,PATENT_IP,LLY involved in patent infringement lawsuit,The lawsuit centers on allegations that the company's product infringed on patented technology held by a competitor. Legal experts anticipate a protracted battle as both sides argue the validity and scope of the patents involved.,5,negative,-1,2010-06-25,-0.029713896219058844
2010-09-22,MS,LABOR_LAWSUIT,MS sued over labor practice allegations,Current and former employees filed a class-action suit accusing the company of discriminatory practices and inadequate workplace protections. The lawsuit seeks compensatory damages and policy changes.,2,negative,-1,2010-06-27,-0.01883743203485788
2010-04-20,WMT,PRODUCT_LIABILITY,WMT reaches settlement in product liability case,"A settlement has been reached in a product liability case involving the company and a group of plaintiffs. As part of the agreement, the company agreed to pay damages while denying liability.",0,negative,-1,2010-06-27,-0.008804566770688638
2010-06-28,ABBV,REGULATORY_UPDATE,ABBV issues statement on updated compliance rules,"In response to updated compliance rules, the company has updated its policies and provided training to employees. Regulators have acknowledged these steps as part of ongoing oversight.",0,neutral,0,2010-06-29,
2010-07-19,JNJ,LABOR_LAWSUIT,Employees file class-action labor lawsuit against JNJ,A group of employees alleges that the company violated wage and hour laws by misclassifying workers and failing to pay overtime. The company stated it complies with labor regulations and will defend itself vigorously.,1,negative,-1,2010-07-01,-0.030720266104511285
2010-10-27,WFC,FINRA_ACTION,FINRA sanctions WFC subsidiary for compliance failures,FINRA issued a disciplinary action against the company for not properly vetting certain securities offerings. The firm has responded by reviewing its internal processes to prevent future violations.,0,negative,-1,2010-07-03,0.029554475706067285
2010-09-17,WMT,SUPPLY_CHAIN,WMT faces supply chain disruptions amid regulatory probe,The company disclosed disruptions in its supply chain due to a regulatory investigation into one of its key partners. Management is exploring alternative suppliers to mitigate potential shortages.,0,neutral,0,2010-07-07,0.02018481754019552
2010-11-15,TGT,PRODUCT_LIABILITY,Consumers allege defects in TGT's product in lawsuit,Consumers filed a lawsuit claiming that the company's product caused injuries due to design flaws. The company maintains that the product meets safety standards and will contest the allegations.,1,negative,-1,2010-07-11,0.03453522744212023
2010-06-22,KO,LABOR_LAWSUIT,Employees file class-action labor lawsuit against KO,"The company reached a settlement with workers who had claimed unfair labor practices. Without admitting wrongdoing, the company agreed to compensation and to implement improved labor policies.",0,negative,-1,2010-07-11,-0.040602643667211114
2010-08-12,LLY,REGULATORY_UPDATE,LLY issues statement on updated compliance rules,The company issued a statement addressing new regulatory requirements affecting its operations. Management indicated ongoing efforts to adapt processes and ensure compliance across all jurisdictions.,0,neutral,0,2010-07-13,-0.06338785676550329
2010-06-09,TGT,SUPPLY_CHAIN,TGT faces supply chain disruptions amid regulatory probe,"After working with regulators, the company announced it has resolved compliance concerns related to its supply chain. The resolution includes enhanced oversight and revised contracts with suppliers.",0,neutral,0,2010-07-18,0.03456218866767191
2010-11-16,MCD,DATA_PRIVACY,MCD fined for violating data privacy regulations,"An internal audit revealed unauthorized access to customer data, prompting regulatory notification and an investigation. The company has engaged forensic experts to assess the scope and pledged to strengthen security protocols.",5,negative,-1,2010-07-18,0.020536998904567172
2010-04-23,GOOG,SEC_ENFORCEMENT,GOOG to restate earnings after SEC investigation,The Securities and Exchange Commission charged the company with violations related to financial disclosures. The company has agreed to pay a civil penalty and enhance its reporting controls.,1,negative,-1,2010-07-20,-0.03539512195950101
2010-09-23,AAPL,DATA_PRIVACY,AAPL fined for violating data privacy regulations,Regulators imposed a fine after finding that the company failed to obtain proper consent for collecting user information. The violation underlines the growing scrutiny of data protection practices in the technology industry.,0,negative,-1,2010-07-21,-0.01789416441235525
2010-05-06,COST,SUPPLY_CHAIN,Regulators scrutinize COST's supply chain practices,The company disclosed disruptions in its supply chain due to a regulatory investigation into one of its key partners. Management is exploring alternative suppliers to mitigate potential shortages.,4,negative,-1,2010-07-25,-0.0062037726403052496
2010-11-04,HUM,REGULATORY_UPDATE,HUM issues statement on updated compliance rules,"In response to updated compliance rules, the company has updated its policies and provided training to employees. Regulators have acknowledged these steps as part of ongoing oversight.",0,neutral,0,2010-07-26,0.011981229251545988
2010-05-12,BAC,FINRA_ACTION,FINRA fines BAC for supervisory lapses,FINRA issued a disciplinary action against the company for not properly vetting certain securities offerings. The firm has responded by reviewing its internal processes to prevent future violations.,0,negative,-1,2010-07-27,-0.04452281195757224
2010-04-26,GOOG,ANTITRUST,GOOG hit with antitrust lawsuit alleging monopolistic conduct,A civil suit filed by competitors claims the company engaged in anticompetitive practices that harmed smaller rivals. The case seeks both injunctive relief and monetary damages for affected parties.,2,negative,-1,2010-07-29,-0.0019563876175363593
2010-09-02,KO,REGULATORY_UPDATE,KO responds to new regulatory requirements,"In response to updated compliance rules, the company has updated its policies and provided training to employees. Regulators have acknowledged these steps as part of ongoing oversight.",0,neutral,0,2010-07-31,0.01986750957512573
2010-05-27,LLY,FDA_APPROVAL,LLY receives FDA approval for new therapy,"After successful clinical trials, the company's drug received FDA approval for market entry. Investors responded positively, reflecting optimism about future sales prospects.",3,positive,1,2010-08-01,-0.013711289199873411
2010-10-19,AAPL,SUPPLY_CHAIN,Regulators scrutinize AAPL's supply chain practices,"After working with regulators, the company announced it has resolved compliance concerns related to its supply chain. The resolution includes enhanced oversight and revised contracts with suppliers.",3,negative,-1,2010-08-01,-0.00465271782875365
2010-08-16,HD,SUPPLY_CHAIN,HD resolves supply chain compliance issue,"After working with regulators, the company announced it has resolved compliance concerns related to its supply chain. The resolution includes enhanced oversight and revised contracts with suppliers.",0,neutral,0,2010-08-03,0.016435559773449127
2010-06-04,NVDA,ANTITRUST,NVDA faces antitrust investigation over market practices,A civil suit filed by competitors claims the company engaged in anticompetitive practices that harmed smaller rivals. The case seeks both injunctive relief and monetary damages for affected parties.,2,negative,-1,2010-08-04,-0.040496160460989694
2010-03-01,MCD,REGULATORY_UPDATE,MCD issues statement on updated compliance rules,"In response to updated compliance rules, the company has updated its policies and provided training to employees. Regulators have acknowledged these steps as part of ongoing oversight.",0,neutral,0,2010-08-05,0.017817859195165653
2010-01-05,RTX,ANTITRUST,RTX faces antitrust investigation over market practices,Regulatory officials allege that the company has been leveraging its market position to stifle competition. The ongoing inquiry is expected to examine pricing strategies and exclusivity agreements.,2,negative,-1,2010-08-05,0.016723509993626262
2010-06-16,JNJ,PRODUCT_LIABILITY,JNJ faces product liability lawsuit over safety claims,Consumers filed a lawsuit claiming that the company's product caused injuries due to design flaws. The company maintains that the product meets safety standards and will contest the allegations.,1,negative,-1,2010-08-07,0.0
2010-12-31,ORCL,SEC_ENFORCEMENT,ORCL fined by SEC for disclosure violations,"After an investigation into revenue recognition practices, the company announced it would restate prior earnings. The SEC noted cooperation by the company in resolving the matter.",1,negative,-1,2010-08-08,-0.008626089648752333
2010-12-17,AAPL,LABOR_LAWSUIT,AAPL sued over labor practice allegations,"The company reached a settlement with workers who had claimed unfair labor practices. Without admitting wrongdoing, the company agreed to compensation and to implement improved labor policies.",0,negative,-1,2010-08-10,0.012694759349038964
2010-09-30,GOOG,REGULATORY_UPDATE,GOOG responds to new regulatory requirements,"In response to updated compliance rules, the company has updated its policies and provided training to employees. Regulators have acknowledged these steps as part of ongoing oversight.",1,neutral,0,2010-08-11,0.008026048675412012
2010-09-28,NVDA,DATA_PRIVACY,NVDA fined for violating data privacy regulations,Regulators imposed a fine after finding that the company failed to obtain proper consent for collecting user information. The violation underlines the growing scrutiny of data protection practices in the technology industry.,1,negative,-1,2010-08-13,-0.05430258324547077
2010-05-11,PEP,REGULATORY_UPDATE,Regulatory changes affect PEP's operations,Industry-wide regulatory changes have prompted the company to modify certain practices. Executives anticipate minor operational impacts but emphasized the importance of maintaining compliance.,1,neutral,0,2010-08-14,-0.0003004205250867198
2010-02-04,TSLA,SEC_ENFORCEMENT,TSLA to restate earnings after SEC investigation,"According to regulatory filings, the company settled with the SEC over allegations of inadequate internal controls. The resolution involves a monetary fine and the appointment of an independent monitor.",0,negative,-1,2010-08-14,
2010-01-06,LMT,ANTITRUST,LMT faces antitrust investigation over market practices,Regulatory officials allege that the company has been leveraging its market position to stifle competition. The ongoing inquiry is expected to examine pricing strategies and exclusivity agreements.,3,negative,-1,2010-08-14,0.004836040954299792
2010-05-28,LLY,PRODUCT_LIABILITY,LLY reaches settlement in product liability case,Consumers filed a lawsuit claiming that the company's product caused injuries due to design flaws. The company maintains that the product meets safety standards and will contest the allegations.,1,negative,-1,2010-08-15,-0.006404399080166656
2010-04-26,COP,SUPPLY_CHAIN,COP faces supply chain disruptions amid regulatory probe,"After working with regulators, the company announced it has resolved compliance concerns related to its supply chain. The resolution includes enhanced oversight and revised contracts with suppliers.",0,neutral,0,2010-08-15,0.024013867216009732
2010-02-04,BAC,ACCOUNTING_FRAUD,Auditors uncover accounting irregularities at BAC,"Whistleblower reports prompted authorities to examine the company's books for irregularities. Pending the outcome, stakeholders are expressing concerns about financial reporting practices.",3,negative,-1,2010-08-19,-0.008135641067468113
2010-04-09,NVDA,SEC_ENFORCEMENT,SEC charges NVDA with securities law violations,"After an investigation into revenue recognition practices, the company announced it would restate prior earnings. The SEC noted cooperation by the company in resolving the matter.",1,negative,-1,2010-08-21,0.004120012752074187
2010-01-12,NFLX,PATENT_IP,NFLX sues competitor over intellectual property theft,The company filed a complaint alleging theft of proprietary designs by a rival. The case seeks injunctive relief to prevent further use of the contested intellectual property and compensatory damages for losses incurred.,0,negative,-1,2010-08-23,
2010-09-29,GOOG,SUPPLY_CHAIN,GOOG resolves supply chain compliance issue,Regulatory authorities are examining the company's sourcing practices for potential violations of international trade laws. The inquiry focuses on whether suppliers complied with labor and environmental standards.,1,neutral,0,2010-08-23,0.012620991379738822
2010-11-16,AAPL,LABOR_LAWSUIT,Employees file class-action labor lawsuit against AAPL,"The company reached a settlement with workers who had claimed unfair labor practices. Without admitting wrongdoing, the company agreed to compensation and to implement improved labor policies.",2,negative,-1,2010-08-24,0.023674642704146986
2010-10-21,AAPL,DATA_PRIVACY,AAPL announces data breach affecting customer records,"Following complaints from users, investigators are reviewing whether the company adequately disclosed how it uses personal data. The company asserts that it complies with applicable privacy laws and continues to enhance transparency.",0,negative,-1,2010-08-25,-0.013827454595869537
2017-12-14,ABBV,PATENT_IP,ABBV sues competitor over intellectual property theft,"In a ruling that could set a precedent for similar disputes, a federal judge sided with the company on key points but left other claims to be decided at trial. The outcome may influence the competitive landscape in the industry.",3,negative,-1,2010-08-27,0.016718603486777006
2010-06-17,MSFT,SEC_ENFORCEMENT,SEC charges MSFT with securities law violations,"After an investigation into revenue recognition practices, the company announced it would restate prior earnings. The SEC noted cooperation by the company in resolving the matter.",1,negative,-1,2010-08-28,-0.05195295410165135
2010-04-09,MS,SEC_ENFORCEMENT,MS fined by SEC for disclosure violations,The Securities and Exchange Commission charged the company with violations related to financial disclosures. The company has agreed to pay a civil penalty and enhance its reporting controls.,1,negative,-1,2010-08-29,-0.0587479754773077
2010-03-17,HD,DATA_PRIVACY,HD announces data breach affecting customer records,"Following complaints from users, investigators are reviewing whether the company adequately disclosed how it uses personal data. The company asserts that it complies with applicable privacy laws and continues to enhance transparency.",1,negative,-1,2010-08-31,-0.006150672148279246
2010-07-16,HUM,PRODUCT_LIABILITY,HUM faces product liability lawsuit over safety claims,Consumers filed a lawsuit claiming that the company's product caused injuries due to design flaws. The company maintains that the product meets safety standards and will contest the allegations.,2,negative,-1,2010-08-31,0.007884435493565656
2010-07-30,WMT,REGULATORY_UPDATE,WMT responds to new regulatory requirements,The company issued a statement addressing new regulatory requirements affecting its operations. Management indicated ongoing efforts to adapt processes and ensure compliance across all jurisdictions.,1,neutral,0,2010-09-05,0.011721056769462779
2010-01-04,TSLA,SUPPLY_CHAIN,Regulators scrutinize TSLA's supply chain practices,Regulatory authorities are examining the company's sourcing practices for potential violations of international trade laws. The inquiry focuses on whether suppliers complied with labor and environmental standards.,0,neutral,0,2010-09-08,
2010-06-01,PEP,REGULATORY_UPDATE,Regulatory changes affect PEP's operations,The company issued a statement addressing new regulatory requirements affecting its operations. Management indicated ongoing efforts to adapt processes and ensure compliance across all jurisdictions.,1,neutral,0,2010-09-09,0.005940846462633598
2010-04-15,SBUX,REGULATORY_UPDATE,Regulatory changes affect SBUX's operations,The company issued a statement addressing new regulatory requirements affecting its operations. Management indicated ongoing efforts to adapt processes and ensure compliance across all jurisdictions.,1,neutral,0,2010-09-10,
2010-03-12,MS,SEC_ENFORCEMENT,SEC charges MS with securities law violations,"After an investigation into revenue recognition practices, the company announced it would restate prior earnings. The SEC noted cooperation by the company in resolving the matter.",0,negative,-1,2010-09-11,-0.009361156272571391
2010-09-20,COST,PRODUCT_LIABILITY,COST faces product liability lawsuit over safety claims,"A settlement has been reached in a product liability case involving the company and a group of plaintiffs. As part of the agreement, the company agreed to pay damages while denying liability.",0,negative,-1,2010-09-12,0.03998030989426948
2010-04-08,TSLA,ANTITRUST,Regulators probe TSLA for alleged anticompetitive behavior,Regulatory officials allege that the company has been leveraging its market position to stifle competition. The ongoing inquiry is expected to examine pricing strategies and exclusivity agreements.,1,negative,-1,2010-09-13,
2010-09-07,PEP,DATA_PRIVACY,PEP under scrutiny for handling of user data,"An internal audit revealed unauthorized access to customer data, prompting regulatory notification and an investigation. The company has engaged forensic experts to assess the scope and pledged to strengthen security protocols.",0,negative,-1,2010-09-13,0.007636082832862545
2010-09-20,SBUX,PRODUCT_LIABILITY,SBUX faces product liability lawsuit over safety claims,"A settlement has been reached in a product liability case involving the company and a group of plaintiffs. As part of the agreement, the company agreed to pay damages while denying liability.",0,negative,-1,2010-09-15,
2010-11-16,RTX,ANTITRUST,Regulators probe RTX for alleged anticompetitive behavior,Regulatory officials allege that the company has been leveraging its market position to stifle competition. The ongoing inquiry is expected to examine pricing strategies and exclusivity agreements.,3,negative,-1,2010-09-16,0.006034886311212295
2010-10-25,MS,LABOR_LAWSUIT,MS sued over labor practice allegations,Current and former employees filed a class-action suit accusing the company of discriminatory practices and inadequate workplace protections. The lawsuit seeks compensatory damages and policy changes.,0,negative,-1,2010-09-17,0.014402117080846155
2010-08-10,HUM,FDA_ACTION,FDA issues warning to HUM over manufacturing practices,Regulators alleged that the company promoted a drug for unapproved uses. The company has ceased the marketing activity and is working to align promotional practices with regulatory standards.,0,negative,-1,2010-09-18,-0.01992913981043487
2010-12-03,MS,REGULATORY_UPDATE,MS responds to new regulatory requirements,The company issued a statement addressing new regulatory requirements affecting its operations. Management indicated ongoing efforts to adapt processes and ensure compliance across all jurisdictions.,0,neutral,0,2010-09-22,0.05109216863740618
2010-04-21,MRK,PRODUCT_LIABILITY,Consumers allege defects in MRK's product in lawsuit,"A settlement has been reached in a product liability case involving the company and a group of plaintiffs. As part of the agreement, the company agreed to pay damages while denying liability.",4,negative,-1,2010-09-24,-0.005181575198473398
2010-12-30,HUM,FDA_ACTION,HUM faces FDA enforcement for marketing violations,The Food and Drug Administration issued a warning letter to the company about manufacturing deficiencies at one of its facilities. The company is addressing the cited issues to avoid further enforcement actions.,0,negative,-1,2010-09-25,0.04524610230354065
2010-10-12,ORCL,ACCOUNTING_FRAUD,ORCL investigated over alleged accounting misconduct,"Auditors discovered discrepancies in the company's financial statements, leading to suspicions of accounting misconduct. The firm has initiated an internal review and engaged outside counsel to ensure transparency.",0,negative,-1,2010-10-02,0.04221825880636132
2010-08-27,ABBV,REGULATORY_UPDATE,ABBV responds to new regulatory requirements,Industry-wide regulatory changes have prompted the company to modify certain practices. Executives anticipate minor operational impacts but emphasized the importance of maintaining compliance.,1,neutral,0,2010-10-02,
2010-10-14,WFC,REGULATORY_UPDATE,WFC responds to new regulatory requirements,Industry-wide regulatory changes have prompted the company to modify certain practices. Executives anticipate minor operational impacts but emphasized the importance of maintaining compliance.,2,negative,-1,2010-10-04,0.05299365553344337
2010-07-14,CVX,REGULATORY_UPDATE,CVX issues statement on updated compliance rules,Industry-wide regulatory changes have prompted the company to modify certain practices. Executives anticipate minor operational impacts but emphasized the importance of maintaining compliance.,0,neutral,0,2010-10-05,-0.01204685026661012
2010-09-27,ORCL,ACCOUNTING_FRAUD,ORCL investigated over alleged accounting misconduct,"Auditors discovered discrepancies in the company's financial statements, leading to suspicions of accounting misconduct. The firm has initiated an internal review and engaged outside counsel to ensure transparency.",1,negative,-1,2010-10-06,-1.9771466237994417e-05
2010-03-30,PG,LABOR_LAWSUIT,Employees file class-action labor lawsuit against PG,Current and former employees filed a class-action suit accusing the company of discriminatory practices and inadequate workplace protections. The lawsuit seeks compensatory damages and policy changes.,1,negative,-1,2010-10-07,-0.018221940064708342
2010-12-30,TSLA,ACCOUNTING_FRAUD,Auditors uncover accounting irregularities at TSLA,"Whistleblower reports prompted authorities to examine the company's books for irregularities. Pending the outcome, stakeholders are expressing concerns about financial reporting practices.",3,negative,-1,2010-10-08,0.052075465943475674
2010-05-14,NVDA,ACCOUNTING_FRAUD,NVDA executives charged in accounting fraud scheme,"Whistleblower reports prompted authorities to examine the company's books for irregularities. Pending the outcome, stakeholders are expressing concerns about financial reporting practices.",5,negative,-1,2010-10-11,-0.017746711390920877
2010-10-15,BAC,REGULATORY_UPDATE,BAC issues statement on updated compliance rules,"In response to updated compliance rules, the company has updated its policies and provided training to employees. Regulators have acknowledged these steps as part of ongoing oversight.",3,negative,-1,2010-10-15,-0.045075175221360175
2010-06-30,TGT,LABOR_LAWSUIT,TGT settles labor dispute with workforce,Current and former employees filed a class-action suit accusing the company of discriminatory practices and inadequate workplace protections. The lawsuit seeks compensatory damages and policy changes.,0,negative,-1,2010-10-18,0.0172872454275399
2010-10-19,COP,SEC_ENFORCEMENT,COP fined by SEC for disclosure violations,The Securities and Exchange Commission charged the company with violations related to financial disclosures. The company has agreed to pay a civil penalty and enhance its reporting controls.,3,negative,-1,2010-10-19,0.02283301353106948
2010-02-01,DIS,SUPPLY_CHAIN,Regulators scrutinize DIS's supply chain practices,The company disclosed disruptions in its supply chain due to a regulatory investigation into one of its key partners. Management is exploring alternative suppliers to mitigate potential shortages.,1,neutral,0,2010-10-20,-0.0013550669950460614
2010-02-17,PG,SUPPLY_CHAIN,PG resolves supply chain compliance issue,Regulatory authorities are examining the company's sourcing practices for potential violations of international trade laws. The inquiry focuses on whether suppliers complied with labor and environmental standards.,1,neutral,0,2010-10-20,0.01654751910892638
2014-08-20,NFLX,DATA_PRIVACY,NFLX fined for violating data privacy regulations,"An internal audit revealed unauthorized access to customer data, prompting regulatory notification and an investigation. The company has engaged forensic experts to assess the scope and pledged to strengthen security protocols.",3,negative,-1,2010-10-22,
2010-10-07,JNJ,PRODUCT_LIABILITY,JNJ faces product liability lawsuit over safety claims,Regulatory filings show that the company faces multiple product liability suits alleging harm from its products. The company is evaluating legal strategies to address these claims.,0,negative,-1,2010-10-22,0.008225453690891005
2010-12-06,TSLA,DATA_PRIVACY,TSLA under scrutiny for handling of user data,"Following complaints from users, investigators are reviewing whether the company adequately disclosed how it uses personal data. The company asserts that it complies with applicable privacy laws and continues to enhance transparency.",3,negative,-1,2010-10-24,0.007918193261069906
2010-07-14,KO,DATA_PRIVACY,KO fined for violating data privacy regulations,"Following complaints from users, investigators are reviewing whether the company adequately disclosed how it uses personal data. The company asserts that it complies with applicable privacy laws and continues to enhance transparency.",1,negative,-1,2010-10-25,0.02385457527783874
2010-08-26,META,ANTITRUST,Regulators probe META for alleged anticompetitive behavior,Regulatory officials allege that the company has been leveraging its market position to stifle competition. The ongoing inquiry is expected to examine pricing strategies and exclusivity agreements.,1,negative,-1,2010-10-27,
2018-09-04,META,SEC_ENFORCEMENT,META to restate earnings after SEC investigation,The Securities and Exchange Commission charged the company with violations related to financial disclosures. The company has agreed to pay a civil penalty and enhance its reporting controls.,3,negative,-1,2010-10-30,-0.03049796491268353
2010-11-23,JPM,LABOR_LAWSUIT,Employees file class-action labor lawsuit against JPM,A group of employees alleges that the company violated wage and hour laws by misclassifying workers and failing to pay overtime. The company stated it complies with labor regulations and will defend itself vigorously.,2,negative,-1,2010-10-31,0.013818181707952792
2010-09-10,WFC,FINRA_ACTION,WFC faces FINRA action over brokerage violations,"Regulators found that the company violated FINRA rules regarding recordkeeping and trade disclosures. In addition to the monetary penalty, the company must implement enhanced oversight protocols.",0,negative,-1,2010-11-01,0.010097079223580607
2010-05-25,BAC,LABOR_LAWSUIT,Employees file class-action labor lawsuit against BAC,"The company reached a settlement with workers who had claimed unfair labor practices. Without admitting wrongdoing, the company agreed to compensation and to implement improved labor policies.",1,negative,-1,2010-11-05,0.026487850675583458
2010-12-23,LMT,LABOR_LAWSUIT,LMT sued over labor practice allegations,Current and former employees filed a class-action suit accusing the company of discriminatory practices and inadequate workplace protections. The lawsuit seeks compensatory damages and policy changes.,1,negative,-1,2010-11-06,0.009530805129517761
2010-02-19,WFC,SEC_ENFORCEMENT,WFC to restate earnings after SEC investigation,The Securities and Exchange Commission charged the company with violations related to financial disclosures. The company has agreed to pay a civil penalty and enhance its reporting controls.,1,negative,-1,2010-11-10,-0.0010961998965900444
2023-09-15,AMZN,SEC_ENFORCEMENT,AMZN to restate earnings after SEC investigation,The Securities and Exchange Commission charged the company with violations related to financial disclosures. The company has agreed to pay a civil penalty and enhance its reporting controls.,3,negative,-1,2010-11-12,
2010-03-01,AMZN,SUPPLY_CHAIN,Regulators scrutinize AMZN's supply chain practices,"After working with regulators, the company announced it has resolved compliance concerns related to its supply chain. The resolution includes enhanced oversight and revised contracts with suppliers.",0,neutral,0,2010-11-14,
2010-07-02,TSLA,DATA_PRIVACY,TSLA under scrutiny for handling of user data,"Following complaints from users, investigators are reviewing whether the company adequately disclosed how it uses personal data. The company asserts that it complies with applicable privacy laws and continues to enhance transparency.",5,negative,-1,2010-11-14,-0.1119788761134195
